
Number read was : 	30447686857555152666860368075992141043308832289120246288657846380538996794608835958544046240163340857

Opening/Closing:
41	,	56
57	,	70
71	,	71
72	,	82
83	,	87
88	,	95
39	,	39
40	,	50
51	,	53
54	,	59
60	,	66
67	,	78
79	,	81
82	,	84
85	,	88
89	,	92
93	,	94
40	,	50
51	,	53
54	,	59
60	,	66
67	,	78
79	,	81
82	,	84
85	,	88
89	,	92
93	,	94
41	,	56
57	,	70
71	,	71
72	,	82
83	,	87
88	,	95
42	,	44
45	,	67
68	,	80
81	,	99
100	,	100
43	,	46
47	,	52
53	,	54
55	,	76
77	,	93
44	,	45
46	,	47
48	,	57
58	,	58
59	,	60
61	,	62
63	,	65
66	,	69
70	,	72
73	,	77
78	,	79
45	,	67
68	,	80
81	,	99
100	,	100
46	,	47
48	,	57
58	,	58
59	,	60
61	,	62
63	,	65
66	,	69
70	,	72
73	,	77
78	,	79
47	,	52
53	,	54
55	,	76
77	,	93
48	,	57
58	,	58
59	,	60
61	,	62
63	,	65
66	,	69
70	,	72
73	,	77
78	,	79
49	,	49
50	,	55
56	,	61
62	,	68
69	,	74
75	,	75
76	,	85
86	,	86
87	,	89
90	,	96
97	,	97
50	,	55
56	,	61
62	,	68
69	,	74
75	,	75
76	,	85
86	,	86
87	,	89
90	,	96
97	,	97
51	,	53
54	,	59
60	,	66
67	,	78
79	,	81
82	,	84
85	,	88
89	,	92
93	,	94
52	,	63
64	,	64
65	,	73
74	,	83
84	,	90
91	,	91
92	,	98
53	,	54
55	,	76
77	,	93
54	,	59
60	,	66
67	,	78
79	,	81
82	,	84
85	,	88
89	,	92
93	,	94
55	,	76
77	,	93
56	,	61
62	,	68
69	,	74
75	,	75
76	,	85
86	,	86
87	,	89
90	,	96
97	,	97
57	,	70
71	,	71
72	,	82
83	,	87
88	,	95
58	,	58
59	,	60
61	,	62
63	,	65
66	,	69
70	,	72
73	,	77
78	,	79
59	,	60
61	,	62
63	,	65
66	,	69
70	,	72
73	,	77
78	,	79
60	,	66
67	,	78
79	,	81
82	,	84
85	,	88
89	,	92
93	,	94
61	,	62
63	,	65
66	,	69
70	,	72
73	,	77
78	,	79
62	,	68
69	,	74
75	,	75
76	,	85
86	,	86
87	,	89
90	,	96
97	,	97
63	,	65
66	,	69
70	,	72
73	,	77
78	,	79
64	,	64
65	,	73
74	,	83
84	,	90
91	,	91
92	,	98
65	,	73
74	,	83
84	,	90
91	,	91
92	,	98
66	,	69
70	,	72
73	,	77
78	,	79
67	,	78
79	,	81
82	,	84
85	,	88
89	,	92
93	,	94
68	,	80
81	,	99
100	,	100
69	,	74
75	,	75
76	,	85
86	,	86
87	,	89
90	,	96
97	,	97
70	,	72
73	,	77
78	,	79
71	,	71
72	,	82
83	,	87
88	,	95
72	,	82
83	,	87
88	,	95
73	,	77
78	,	79
74	,	83
84	,	90
91	,	91
92	,	98
75	,	75
76	,	85
86	,	86
87	,	89
90	,	96
97	,	97
76	,	85
86	,	86
87	,	89
90	,	96
97	,	97
77	,	93
78	,	79
79	,	81
82	,	84
85	,	88
89	,	92
93	,	94
81	,	99
100	,	100
82	,	84
85	,	88
89	,	92
93	,	94
83	,	87
88	,	95
84	,	90
91	,	91
92	,	98
85	,	88
89	,	92
93	,	94
86	,	86
87	,	89
90	,	96
97	,	97
87	,	89
90	,	96
97	,	97
88	,	95
89	,	92
93	,	94
90	,	96
97	,	97
91	,	91
92	,	98
92	,	98
93	,	94
97	,	97
100	,	100


Index Vector:

Transition of 	0	,	1	,	22.3424018

Transition of 	1	,	2	,	22.31330114

Transition of 	2	,	3	,	22.283904

Transition of 	3	,	4	,	22.25420426

Transition of 	4	,	5	,	22.22419564

Transition of 	5	,	6	,	22.19387164

Transition of 	6	,	7	,	22.16322556

Transition of 	7	,	8	,	22.13225049

Transition of 	8	,	9	,	22.10093929

Transition of 	9	,	10	,	22.06928457

Transition of 	10	,	11	,	22.03727873

Transition of 	11	,	12	,	22.00491387

Transition of 	12	,	13	,	21.97218187

Transition of 	13	,	14	,	21.93907428

Transition of 	14	,	15	,	21.9055824

Transition of 	15	,	16	,	21.8716972

Transition of 	16	,	17	,	21.83740932

Transition of 	17	,	18	,	21.80270908

Transition of 	18	,	19	,	21.76758645

Transition of 	19	,	20	,	21.73203101

Transition of 	20	,	21	,	21.69603196

Transition of 	21	,	22	,	21.6595781

Transition of 	22	,	23	,	21.62265777

Transition of 	23	,	24	,	21.5852589

Transition of 	24	,	25	,	21.54736892

Transition of 	25	,	26	,	21.50897474

Transition of 	26	,	27	,	21.47006278

Transition of 	27	,	28	,	21.43061887

Transition of 	28	,	29	,	21.39062828

Transition of 	29	,	30	,	21.35007563

Transition of 	30	,	31	,	21.30894489

Transition of 	31	,	32	,	21.26721936

Transition of 	32	,	33	,	21.22488156

Transition of 	33	,	34	,	21.18191328

Transition of 	34	,	35	,	21.13829543

Transition of 	35	,	36	,	21.09400809

Transition of 	36	,	37	,	21.04903038

Transition of 	37	,	38	,	21.00334043

Transition of 	38	,	39	,	20.95691533

Transition of 	39	,	40	,	20.90973103

Transition of 	40	,	41	,	20.86176228

Transition of 	41	,	42	,	20.81298257

Transition of 	42	,	43	,	20.76336399

Transition of 	43	,	44	,	20.71287719

Transition of 	44	,	45	,	20.66149125

Transition of 	45	,	46	,	20.60917355

Transition of 	46	,	47	,	20.55588968

Transition of 	47	,	48	,	20.50160328

Transition of 	48	,	49	,	20.44627591

Transition of 	49	,	50	,	20.38986686

Transition of 	50	,	51	,	20.33233298

Transition of 	51	,	52	,	20.27362851

Transition of 	52	,	53	,	20.21370482

Transition of 	53	,	54	,	20.15251019

Transition of 	54	,	55	,	20.08998953

Transition of 	55	,	56	,	20.02608412

Transition of 	56	,	57	,	19.9607312

Transition of 	57	,	58	,	19.89386368

Transition of 	58	,	59	,	19.8254097

Transition of 	59	,	60	,	19.75529214

Transition of 	60	,	61	,	19.68342811

Transition of 	61	,	62	,	19.6097284

Transition of 	62	,	63	,	19.53409676

Transition of 	63	,	64	,	19.45642917

Transition of 	64	,	65	,	19.37661297

Transition of 	65	,	66	,	19.2945259

Transition of 	66	,	67	,	19.21003495

Transition of 	67	,	68	,	19.12299505

Transition of 	68	,	69	,	19.03324762

Transition of 	69	,	70	,	18.94061878

Transition of 	70	,	71	,	18.84491737

Transition of 	71	,	72	,	18.74593252

Transition of 	72	,	73	,	18.64343091

Transition of 	73	,	74	,	18.53715339

Transition of 	74	,	75	,	18.42681111

Transition of 	75	,	76	,	18.31208071

Transition of 	76	,	77	,	18.19259869

Transition of 	77	,	78	,	18.06795437

Transition of 	78	,	79	,	17.93768144

Transition of 	79	,	80	,	17.80124742

Transition of 	80	,	81	,	17.65804045

Transition of 	81	,	82	,	17.50735279

Transition of 	82	,	83	,	17.3483596

Transition of 	83	,	84	,	17.18009158

Transition of 	84	,	85	,	17.00139923

Transition of 	85	,	86	,	16.81090507

Transition of 	86	,	87	,	16.6069392

Transition of 	87	,	88	,	16.38745007

Transition of 	88	,	89	,	16.14987855

Transition of 	89	,	90	,	15.89097533

Transition of 	90	,	91	,	15.60652793

Transition of 	91	,	92	,	15.29093785

Transition of 	92	,	93	,	14.93653662

Transition of 	93	,	94	,	14.53241984

Transition of 	94	,	95	,	14.06232322

Transition of 	95	,	96	,	13.50040673

Transition of 	96	,	97	,	12.8018511

Transition of 	97	,	98	,	11.87800959

Transition of 	98	,	99	,	10.50983571

Transition of 	99	,	100	,	7.80228317

